class_id,class_name,precision,recall,f1_score,support
0,Normal,0.961365585591309,0.9990550739229287,0.9798480356944121,242347
1,Backdoor,0.6640350877192982,0.4060069723786538,0.5039108004659677,3729
2,DDoS_HTTP,0.778591621691082,0.809377504675394,0.7936861409483887,7486
3,DDoS_ICMP,0.9964619949783154,0.9997709836253292,0.9981137467847957,17466
4,DDoS_TCP,0.9996783531682213,0.41384820239680425,0.5853658536585366,7510
5,DDoS_UDP,0.9997806536521167,0.999835481217439,0.9998080666831181,18235
6,Fingerprinting,0.9710144927536232,0.44666666666666666,0.6118721461187214,150
7,MITM,1.0,0.8833333333333333,0.9380530973451328,60
8,Password,0.9185903354878424,0.7934334706898843,0.8514371300192568,7523
9,Port_Scanning,0.9184272300469484,0.46247044917257685,0.6151729559748428,3384
10,Ransomware,0.0,0.0,0.0,1638
11,SQL_injection,0.7829583740897729,0.9378987111053249,0.8534533823006752,7681
12,Uploading,0.8773219024290672,0.7613817537643933,0.8152503793626708,5645
13,Vulnerability_scanner,0.9801587301587301,0.9201703033528472,0.9492176777381279,7516
14,XSS,0.7714171337069655,0.8069514237855946,0.7887842816209578,2388
